ID,Allocentric Before Turn,Egocentric Turn Type,Allocentric After Turn,Timestamp Entry,Timestamp Exit,Alley Exited,Intersection,Alley Entered
0,3,1,3,1892378569,1893612330,2,E,16
1,1,2,2,1896849462,1897015880,16,E,1
2,2,2,3,1898951419,1900219624,1,F,14
3,3,2,4,1902489170,1903623590,14,J,15
4,4,2,1,1905024190,1905458795,15,I,16
5,3,3,1,1911364175,1913232796,16,I,16
6,1,1,1,1915269096,1915735459,16,E,2
7,1,2,2,1918437705,1921907213,2,A,0
8,2,1,2,1926412989,1927746539,0,B,4
9,2,1,2,1931416563,1932152638,4,C,6
10,2,2,3,1944363940,1947366274,6,D,7
11,3,1,3,1957042735,1960479855,7,H,9
12,3,2,4,1963882934,1970589807,9,L,10
13,4,1,4,1973727146,1974659233,10,K,13
14,4,1,4,1983703841,1984603357,13,J,15
15,4,2,1,1989741711,1991978336,15,I,16
16,1,1,1,1993746284,1994114415,16,E,2
17,1,2,2,1995114981,1995481742,2,A,0
18,2,1,2,1996414649,1996682287,0,B,4
19,2,1,2,1997750379,1998150706,4,C,6
20,4,4,3,1999318784,1999385097,6,C,5
21,1,2,2,2006058485,2006593090,5,C,6
22,2,2,3,2008027957,2008294077,6,D,7
23,3,1,3,2009529006,2010095708,7,H,9
24,3,2,4,2011866178,2012098475,9,L,10
25,4,1,4,2015067624,2015635171,10,K,13
26,4,1,4,2016969835,2018003678,13,J,15
27,4,2,1,2021207358,2021474047,15,I,16
28,1,1,1,2025278026,2025644149,16,E,2
29,1,2,2,2027280076,2028012698,2,A,0
30,2,1,2,2028981329,2029347616,0,B,4
31,2,1,2,2039559191,2040024782,4,C,6
32,2,2,3,2041527415,2041794286,6,D,7
33,3,1,3,2045898861,2046331656,7,H,9
34,3,2,4,2047665935,2047801677,9,L,10
35,4,1,4,2049635091,2050769882,10,K,13
36,4,1,4,2051904679,2052371861,13,J,15
37,4,2,1,2053473129,2053572229,15,I,16
38,1,3,3,2054140190,2054874845,16,E,16
39,1,1,1,2056009297,2056441948,16,E,2
40,1,2,2,2058077252,2058209942,2,A,0
41,4,3,2,2063683292,2066285605,0,A,0
42,2,1,2,2067119537,2067487746,0,B,4
43,2,1,2,2068587948,2069356051,4,C,6
44,2,2,3,2073091973,2073793358,6,D,7
45,3,1,3,2075159932,2075428144,7,H,9
46,3,2,4,2077096192,2077230925,9,L,10
47,4,1,4,2078296609,2078564623,10,K,13
48,4,1,4,2079798106,2080334379,13,J,15
49,4,2,1,2081000491,2085038752,15,I,16
50,1,1,1,2086973617,2087207022,16,E,2
51,1,2,2,2088606402,2088840457,2,A,0
52,2,1,2,2089709036,2089976024,0,B,4
53,2,1,2,2092379057,2098651735,4,C,6
54,2,2,3,2102188388,2102420376,6,D,7
55,3,1,3,2103323666,2104224444,7,H,9
56,3,2,4,2105458340,2105624020,9,L,10
57,4,1,4,2107961308,2108194015,10,K,13
58,4,2,1,2109327677,2111196264,13,J,14
59,3,2,4,2123909914,2123977105,14,J,15
60,2,4,1,2124610490,2124711373,15,J,14
61,1,1,1,2142695466,2143729089,14,F,3
62,3,2,4,2146131498,2146165018,3,F,1
63,2,2,3,2146698917,2146732980,1,F,14
64,1,2,2,2147065850,2147332667,14,F,12
65,4,2,1,2150402902,2151037011,12,F,3
66,1,4,4,2153373956,2154373749,3,B,0
67,2,2,3,2155208545,2155373591,0,B,3
68,3,3,1,2157041686,2160079268,3,F,3
69,3,1,3,2160947270,2161980929,3,F,14
70,1,2,2,2167754071,2167819643,14,F,12
71,2,1,2,2168154317,2168387614,12,G,8
72,2,4,1,2169254981,2169923233,8,H,7
73,3,1,3,2171090665,2171423226,7,H,9
74,3,2,4,2172790986,2181100326,9,L,10
75,4,1,4,2184270047,2184535343,10,K,13
76,4,2,1,2192946770,2193446123,13,J,14
77,3,2,4,2198484748,2198752729,14,J,15
78,2,4,1,2199319170,2199518734,15,J,14
79,1,1,1,2203922484,2204190301,14,F,3
80,1,4,4,2204824244,2206024792,3,B,0
81,2,2,3,2206760038,2206826534,0,B,3
82,3,2,4,2207425261,2208427147,3,F,1
83,4,2,1,2223341705,2223742816,1,E,2
84,3,4,2,2225511606,2225578284,2,E,1
85,2,1,2,2227345845,2229148838,1,F,12
86,2,1,2,2251669773,2252772565,12,G,8
87,2,2,3,2254807258,2255575151,8,H,9
88,3,2,4,2256609487,2256775616,9,L,10
89,4,1,4,2257142662,2257410289,10,K,13
90,2,4,1,2258577969,2258977880,13,K,11
91,3,2,4,2260714332,2260745822,11,K,13
92,4,1,4,2261847288,2262381237,13,J,15
93,2,4,1,2267253290,2267453442,15,J,14
94,1,1,1,2275160899,2277129821,14,F,3
95,3,4,2,2280265916,2280465661,3,F,12
96,4,4,3,2281466943,2282000241,12,F,14
97,1,4,4,2283369709,2283468927,14,F,1
98,2,2,3,2294680626,2294780266,1,F,14
99,1,2,2,2298551447,2299484367,14,F,12
100,2,1,2,2309529019,2310130216,12,G,8
101,2,2,3,2328648470,2329147519,8,H,9
102,1,4,4,2330415671,2330484241,9,H,8
103,2,4,1,2331184599,2331450977,8,H,7
104,3,2,4,2332951266,2332985319,7,H,8
105,4,1,4,2365117631,2365684091,8,G,12
106,2,4,1,2366820015,2366984946,12,G,5
107,1,2,2,2369121180,2369221705,5,C,6
108,2,3,4,2372758198,2374893889,6,D,6
109,2,2,3,2377764394,2378329540,6,D,7
110,3,1,3,2380032409,2380333567,7,H,9
111,1,4,4,2380933931,2381099979,9,H,8
112,4,2,1,2382400920,2382502109,8,G,5
113,3,2,4,2385070433,2385171313,5,G,12
114,4,1,4,2390742148,2391676463,12,F,1
115,4,4,3,2412464837,2413264954,1,E,16
116,1,2,2,2415669144,2415768335,16,E,1
117,2,1,2,2418272040,2418737866,1,F,12
118,2,1,2,2420706287,2421039659,12,G,8
119,2,3,4,2421740583,2422475089,8,H,8
120,4,2,1,2424777737,2426712610,8,G,5
121,1,2,2,2441626709,2441928020,5,C,6
122,4,1,4,2443462724,2443730681,6,C,4
123,4,1,4,2445463884,2445898324,4,B,0
124,4,3,2,2447533591,2449535266,0,A,0
125,2,2,3,2449835199,2450234284,0,B,3
126,3,2,4,2454540021,2454706510,3,F,1
127,2,2,3,2456274613,2456375089,1,F,14
128,3,3,1,2461447084,2463015292,14,J,14
129,3,2,4,2464149654,2464250270,14,J,15
130,2,4,1,2465351084,2465584529,15,J,14
131,1,2,2,2466384702,2466718471,14,F,12
132,4,2,1,2468854738,2469122998,12,F,3
133,3,2,4,2470588796,2470724086,3,F,1
134,2,2,3,2471856549,2471923837,1,F,14
135,3,4,2,2474694013,2477497532,14,J,13
136,2,1,2,2478931678,2479332158,13,K,10
137,2,3,4,2488874278,2489907715,10,L,10
138,4,2,1,2491044131,2491110588,10,K,11
139,1,2,2,2497683548,2498317681,11,G,8
140,4,2,1,2505723911,2505824457,8,G,5
141,1,2,2,2506593172,2506859586,5,C,6
142,2,3,4,2513230838,2513899693,6,D,6
143,2,2,3,2515101135,2515668231,6,D,7
144,3,1,3,2516669661,2516901836,7,H,9
145,3,2,4,2518102701,2518203443,9,L,10
146,4,1,4,2519071037,2519673162,10,K,13
147,4,1,4,2529247466,2529648452,13,J,15
148,2,4,1,2530283255,2530514774,15,J,14
149,1,4,4,2532151393,2534019804,14,F,1
150,2,2,3,2552337616,2552605279,1,F,14
151,3,2,4,2553872150,2554340644,14,J,15
152,2,3,4,2555207630,2561848218,15,J,15
153,4,2,1,2563114754,2563216199,15,I,16
154,1,1,1,2564084063,2564249433,16,E,2
155,1,2,2,2570823123,2571024119,2,A,0
156,2,1,2,2571524208,2571857626,0,B,4
157,2,3,4,2573359046,2583735683,4,C,4
158,2,1,2,2586605047,2586939559,4,C,6
159,2,2,3,2596349366,2596514519,6,D,7
160,3,1,3,2597482131,2597783785,7,H,9
161,3,2,4,2598750625,2600385957,9,L,10
162,4,1,4,2613131274,2613364727,10,K,13
163,4,1,4,2624543117,2624876436,13,J,15
164,4,2,1,2625911439,2625978775,15,I,16
165,1,1,1,2626445801,2626612059,16,E,2
166,1,2,2,2630849476,2631050333,2,A,0
167,2,1,2,2631483438,2631716833,0,B,4
168,2,1,2,2632484474,2632885237,4,C,6
169,4,4,3,2633685844,2633819897,6,C,5
170,3,2,4,2643596514,2643829187,5,G,12
171,4,1,4,2645530069,2645998257,12,F,1
172,4,2,1,2647200642,2647233034,1,E,2
173,1,2,2,2649067884,2649368577,2,A,0
174,2,1,2,2650135493,2650369206,0,B,4
175,2,1,2,2651136703,2651803933,4,C,6
176,2,2,3,2652671477,2652870777,6,D,7
177,3,1,3,2653905960,2654206309,7,H,9
178,3,2,4,2655475378,2665718424,9,L,10
179,4,1,4,2668887178,2669087475,10,K,13
180,4,1,4,2670655989,2670923665,13,J,15
181,4,2,1,2671724930,2671824667,15,I,16
182,1,1,1,2672458529,2672591380,16,E,2
183,1,2,2,2673225920,2673358409,2,A,0
184,2,1,2,2674694154,2674993604,0,B,4
185,2,1,2,2675760149,2675995891,4,C,6
186,2,2,3,2676796232,2676962535,6,D,7
187,3,1,3,2677831231,2678331195,7,H,9
188,3,2,4,2679731471,2679864897,9,L,10
189,4,1,4,2680966629,2681266574,10,K,13
190,4,1,4,2689141746,2689508290,13,J,15
191,4,2,1,2689942016,2690008373,15,I,16
