Allo-,Ego,Allo+,Ts exit,Ts entry,Alley-,Inter,Alley+
1,2,2,2932498386.0,2932532135.0,2,A,0
2,1,2,2933766544.0,2934333988.0,0,B,4
2,1,2,2936503078.0,2939337042.0,4,C,6
2,2,3,2941372441.0,2942141080.0,6,D,7
3,1,3,2943376311.0,2944543629.0,7,H,9
3,2,4,2948849530.0,2949350042.0,9,L,10
4,1,4,2950251422.0,2950851013.0,10,K,13
4,1,4,2965765752.0,2966332032.0,13,J,15
4,2,1,2967499031.0,2968569601.0,15,I,16
1,1,1,2969570897.0,2970136526.0,16,E,2
1,2,2,2971771505.0,2975942503.0,2,A,0
2,1,2,2977476419.0,2977777556.0,0,B,4
2,1,2,2978845207.0,2979312852.0,4,C,6
2,2,3,2988421384.0,2988921326.0,6,D,7
3,2,4,2991691703.0,2992425018.0,7,H,8
2,2,3,2999231860.0,2999599283.0,8,H,9
3,2,4,3004570578.0,3004770142.0,9,L,10
4,1,4,3005405431.0,3005806108.0,10,K,13
2,4,1,3006339644.0,3006371953.0,13,K,11
1,2,2,3008409328.0,3009009679.0,11,G,8
4,2,1,3010209774.0,3010243158.0,8,G,5
3,2,4,3016448960.0,3016515362.0,5,G,12
2,2,3,3037036619.0,3037101693.0,12,G,11
3,2,4,3041741518.0,3041875213.0,11,K,13
4,2,1,3052517984.0,3053619265.0,13,J,14
3,2,4,3065765839.0,3065831996.0,14,J,15
2,4,1,3067067422.0,3084617244.0,15,J,14
1,2,2,3133766933.0,3134368122.0,14,F,12
2,1,2,3137002870.0,3137603288.0,12,G,8
4,2,1,3139805873.0,3139940259.0,8,G,5
1,2,2,3140506236.0,3141641519.0,5,C,6
4,1,4,3143276314.0,3146979767.0,6,C,4
2,2,3,3150148822.0,3150250597.0,4,C,5
3,1,3,3151316505.0,3151582799.0,5,G,11
3,4,2,3153119301.0,3153685784.0,11,K,10
4,1,4,3156021304.0,3156288544.0,10,K,13
4,2,1,3163094831.0,3163495978.0,13,J,14
1,2,2,3167634039.0,3168033987.0,14,F,12
4,2,1,3168634496.0,3168699983.0,12,F,3
1,2,2,3170336337.0,3170736336.0,3,B,4
2,1,2,3171904545.0,3172339239.0,4,C,6
2,2,3,3173238873.0,3177709814.0,6,D,7
3,1,3,3180746980.0,3181146172.0,7,H,9
3,2,4,3187219133.0,3187352295.0,9,L,10
4,1,4,3187752438.0,3188254078.0,10,K,13
4,2,1,3191992708.0,3192425196.0,13,J,14
1,4,4,3193927434.0,3195360880.0,14,F,1
4,4,3,3206806155.0,3207571165.0,1,E,16
1,2,2,3208974727.0,3209041552.0,16,E,1
2,1,2,3209941940.0,3211543538.0,1,F,12
2,1,2,3215714818.0,3216949967.0,12,G,8
4,2,1,3218650408.0,3218784941.0,8,G,5
1,2,2,3219985208.0,3220086236.0,5,C,6
2,2,3,3221252934.0,3221419481.0,6,D,7
3,1,3,3222321927.0,3222588010.0,7,H,9
3,2,4,3223455706.0,3223555913.0,9,L,10
4,1,4,3225857990.0,3226126303.0,10,K,13
4,1,4,3233564238.0,3234033330.0,13,J,15
4,2,1,3239004360.0,3239171451.0,15,I,16
1,1,1,3240105235.0,3240540515.0,16,E,2
1,2,2,3244876443.0,3245110822.0,2,A,0
2,1,2,3245545155.0,3245811795.0,0,B,4
2,3,4,3247179396.0,3250182288.0,4,C,4
2,3,4,3251051176.0,3252318492.0,4,C,4
2,1,2,3253052673.0,3253386333.0,4,C,6
4,4,3,3254386687.0,3254486668.0,6,C,5
3,2,4,3255521257.0,3255854678.0,5,G,12
4,1,4,3256956242.0,3257390198.0,12,F,1
2,2,3,3258624155.0,3258758791.0,1,F,14
3,4,2,3266632793.0,3267100322.0,14,J,13
2,4,1,3269134306.0,3269301321.0,13,K,11
3,4,2,3269802249.0,3270069791.0,11,K,10
4,2,1,3271237188.0,3271271056.0,10,K,11
1,2,2,3272638599.0,3273005019.0,11,G,8
4,2,1,3274740231.0,3274774162.0,8,G,5
1,2,2,3275239142.0,3275474983.0,5,C,6
2,2,3,3276742286.0,3279445621.0,6,D,7
3,1,3,3280178664.0,3280479565.0,7,H,9
3,2,4,3281612000.0,3282948405.0,9,L,10
4,1,4,3290722265.0,3290957156.0,10,K,13
4,1,4,3295694677.0,3296028338.0,13,J,15
4,2,1,3298697097.0,3298830579.0,15,I,16
1,1,1,3299364240.0,3299800122.0,16,E,2
3,4,2,3300466724.0,3300632572.0,2,E,1
2,3,4,3301801899.0,3307407872.0,1,F,1
2,2,3,3315480879.0,3316347916.0,1,F,14
3,4,2,3322955962.0,3324055930.0,14,J,13
1,0,0,3324725198.0,3325491008.0,13,0,12
2,2,3,3326191641.0,3326425271.0,12,G,11
1,2,2,3328127660.0,3328160593.0,11,G,8
4,2,1,3337903041.0,3338002451.0,8,G,5
1,2,2,3339038525.0,3339205150.0,5,C,6
2,2,3,3340038947.0,3340271112.0,6,D,7
3,1,3,3347713639.0,3348147005.0,7,H,9
3,2,4,3349348139.0,3349448478.0,9,L,10
4,1,4,3350282484.0,3350550137.0,10,K,13
4,1,4,3358758128.0,3359225596.0,13,J,15
4,2,1,3360526460.0,3360661616.0,15,I,16
1,1,1,3361026399.0,3361193175.0,16,E,2
3,4,2,3364530424.0,3364796376.0,2,E,1
4,4,3,3365496893.0,3365830470.0,1,E,16
1,1,1,3366565315.0,3368567901.0,16,E,2
1,2,2,3369235116.0,3369334112.0,2,A,0
2,1,2,3369734702.0,3369968507.0,0,B,4
2,1,2,3370802597.0,3371036227.0,4,C,6
4,4,3,3371970678.0,3372070771.0,6,C,5
